area,programa,nombre,eje,tipo,es_obra,estado_general,fecha_ultima_actualizacion,observaciones
Ambiente,Compromisos seguimiento 22/07,Plantaciones,Compromisos,Servicio,false,vigente,2026-08-17,Armar mesa de eventos y sumarlos · Sumar a juventud en las plantación del segundo semestre
Salud,Agenda,Presentismo,POA,Servicio,false,vigente,,Objetivos en base al 1T 2026 (71% mensual): May: 71% / Obj. Cumplido Jun: 71% / Obj. Cumplido Jul: 65% / Obj. Cumplido
Salud,Agenda,Turnos efectivos,POA,Servicio,false,vigente,,Objetivos en base al 1T 2026 (53 K mensual): May: 57 K / Obj. Cumplido Jun: 59 K / Sup. Obj. Jul: 53 K / Obj. Cumplido
Salud,Agenda,Uso de Agenda,POA,Servicio,false,vigente,,Objetivos en base al 1T 2026 (75% mensual): May: 83% / Sup. Obj. Jun: 83% / Sup. Obj. Jul: 75% / Obj. Cumplido
Salud,Compromisos,Pami,Compromisos,Servicio,false,vigente,,Avanzar el tema del recobro a la entidad
